2026-05-23 05:04:35.578 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:35.578 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:36.037 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:36.037 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:36.912 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:36.914 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:37.998 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:37.999 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:38.875 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:38.876 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:39.903 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:39.904 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:40.743 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:40.746 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:41.739 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:41.740 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:42.616 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:42.619 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:43.640 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:43.641 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:44.717 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:44.717 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:45.540 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:45.541 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:46.565 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:46.566 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:47.659 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:47.661 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:48.552 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:48.553 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:49.584 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:49.585 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:50.751 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
